==============================================================================================================
CODIGO    DESCRIPCION                                                 CANTIDAD  DNI       FECHA     ESTADO    
748899    NARANJA SIN SEMILLA                                         11        46462527  20190726  N         
900698    VAINILLA MOLINA 500ML                                       5         46462527  20191009  N         
182942    ZAPOTE                                                      2         46462527  20191012  N         
397718    LECHE LALA SEMI DESLACTOSADA 1LT                            0         46462527  20191018  N         
390920    AGUA NIAGARA 500ML                                          5         46462527  20200312  N         
434681    ELOTE DORADO DEL MONTE 225GR                                4         46462527  20200714  N         
582920    PINGUINOS MARINELA 40GR                                     10        46462527  20200816  N         
178943    YOGHURT P BEBER DURAZNO LIGHT YOP 250GR                     2         46462527  20210316  N         
826317    CHAMYTO BIG 114ML                                           4         46462527  20210529  N         
317404    LICUADO LALA CIRUELA PASA Y NUEZ 240GR                      11        46462527  20210606  N         
308982    YOGHURT P BEBER FRUGGIS FRESA 150GR                         6         46462527  20210823  N         
330512    YOGHURT LALA LIGHT 240GR                                    1         46462527  20211003  N         
901816    JUGO VALLE FRUT CITRUS 12 250ML                             2         46462527  20211227  N         
748008    SANDWICH COMBINADA 3 FLORES 150GR                           3         48184351  20190418  N         
856894    HARINA MAZATL 5KG                                           5         48184351  20190602  N         
485302    YOGHURT LALA FRESA 240GR                                    1         48184351  20190725  N         
856894    HARINA MAZATL 5KG                                           12        48184351  20200417  N         
511824    FLAN LALA SABOR VAINILLA 100GR                              4         48184351  20200531  N         
536472    SABRITAS CASERAS JALAPENO 42GR                              12        48184351  20201231  N         
317404    LICUADO LALA CIRUELA PASA Y NUEZ 240GR                      5         48184351  20210929  N         
204890    LECHE YAQUI DESLACTOSADA 1LT                                1         48184351  20220202  N         
565169    PASTILLA PEPTO BISMOL                                       6         48184351  20220329  N         
620036    SABRITAS ORIGINAL SAL 490GR                                 4         57263719  20200519  N         
941699    MAIZ POZOLERO EXTRA 1KGR                                    9         57263719  20200727  N         
856894    HARINA MAZATL 5KG                                           1         57263719  20200925  N         
565169    PASTILLA PEPTO BISMOL                                       11        57263719  20211010  N         
778066    CHILES CHIPOTLES LA COSTENA 380GR                           9         57263719  20211122  N         
662083    TAKIS SALSA BRAVA 62GR                                      5         57263719  20220101  N         
793026    YOGHURT NATURAL LIGHT LALA 1KG                              5         57263719  20220106  N         
311343    YOGHURT FRESA NESTLE 1KG                                    11        62566305  20200730  N         
714788    PAPA EN CUBOS DEL FUERTE 12 380GR.                          7         62566305  20201123  N         
882099    NESQUIK CHOCOLATE 200GR                                     2         62566305  20210227  N         
882099    NESQUIK CHOCOLATE 200GR                                     12        62566305  20220123  N         
308982    YOGHURT P BEBER FRUGGIS FRESA 150GR                         3         71378466  20190424  N         
923804    SAL BAJA PACIFIC BOLSA 1KGR                                 7         71378466  20200319  N         
459032    GELATINA DANY LIMON 125GR                                   10        71378466  20200529  N         
412041    TORTILLAS DE MAIZ 1KG                                       2         71378466  20201026  N         
485302    YOGHURT LALA FRESA 240GR                                    5         71378466  20210104  N         
485302    YOGHURT LALA FRESA 240GR                                    8         71378466  20210117  N         
330512    YOGHURT LALA LIGHT 240GR                                    1         71378466  20211219  N         
874503    GALLETAS LORS SNACKS MARINELA 75GR                          1         71984468  20190807  N         
997564    MANGO ECUATORIANO                                           1         71984468  20191006  N         
330512    YOGHURT LALA LIGHT 240GR                                    6         71984468  20201126  N         
283781    FRIJOLES REFRITOS ISADORA 430GR                             7         71984468  20210305  N         
126218    TANJERINA                                                   6         71984468  20211128  N         
651034    MANGO EN REBANADAS LA MORENA 800GR                          8         71984468  20220211  N         
374253    TE DE MANZANILLA NEBO 24 1GR                                5         76388967  20190105  N         
947176    SALSA DE CHILE HABANERO ROJO 260GR                          6         76388967  20190203  N         
935218    FRIJOL AMARILLO KG                                          2         76388967  20190421  N         
997564    MANGO ECUATORIANO                                           12        76388967  20200509  N         
536472    SABRITAS CASERAS JALAPENO 42GR                              3         76388967  20201129  N         
430669    AJO GRANULADO DE CALIFORNIA KIRKLAND 51.                    10        79140840  20190518  N         
459032    GELATINA DANY LIMON 125GR                                   8         79140840  20190529  N         
308982    YOGHURT P BEBER FRUGGIS FRESA 150GR                         10        79140840  20210415  N         
317404    LICUADO LALA CIRUELA PASA Y NUEZ 240GR                      3         79140840  20210520  N         
455703    PALOMITAS POFETS FLAMIN HOT 28GR                            2         79140840  20210528  N         
126218    TANJERINA                                                   3         79140840  20210717  N         
748008    SANDWICH COMBINADA 3 FLORES 150GR                           8         79140840  20220221  N         
118050    PAPAYA                                                      8         79475585  20191216  N         
118050    PAPAYA                                                      5         79475585  20200430  N         
390920    AGUA NIAGARA 500ML                                          4         79475585  20200514  N         
565169    PASTILLA PEPTO BISMOL                                       5         79475585  20200718  N         
793026    YOGHURT NATURAL LIGHT LALA 1KG                              7         79475585  20200907  N         
748899    NARANJA SIN SEMILLA                                         9         79475585  20210124  N         
900698    VAINILLA MOLINA 500ML                                       5         81114108  20190519  N         
662083    TAKIS SALSA BRAVA 62GR                                      2         81114108  20190710  N         
118050    PAPAYA                                                      11        81114108  20200309  N         
565169    PASTILLA PEPTO BISMOL                                       5         81114108  20200605  N         
308982    YOGHURT P BEBER FRUGGIS FRESA 150GR                         7         81114108  20200921  N         
182942    ZAPOTE                                                      3         81114108  20201006  N         
992564    LECHUGA ROMANA                                              3         81114108  20201105  N         
793026    YOGHURT NATURAL LIGHT LALA 1KG                              7         81114108  20210713  N         
455703    PALOMITAS POFETS FLAMIN HOT 28GR                            12        81114108  20220124  N         
941699    MAIZ POZOLERO EXTRA 1KGR                                    6         81114108  20220205  N         
365379    YOGHURT FRESA CON GRANOLA CHELSY 240GR                      4         83236386  20190713  N         
406688    CHURROMAIS CON LIMON 38GR                                   9         83236386  20190803  N         
923804    SAL BAJA PACIFIC BOLSA 1KGR                                 11        83236386  20190815  N         
311343    YOGHURT FRESA NESTLE 1KG                                    4         83236386  20200806  N         
675770    JARABE DE MAMEY 1.25KG                                      2         83236386  20200911  N         
872819    GELATINA DE LECHE VAINILLA DANETTE 100GR                    1         83236386  20211020  N         
204890    LECHE YAQUI DESLACTOSADA 1LT                                6         91897732  20190313  N         
151641    YOGHURT P BEBER LACTIGURT COCO 250G                         6         91897732  20200720  N         
947176    SALSA DE CHILE HABANERO ROJO 260GR                          2         91897732  20210309  N         
485302    YOGHURT LALA FRESA 240GR                                    9         91897732  20210705  N         
961802    ACHIOTE LA EXTRA 1KG                                        12        91897732  20211004  N         
423073    POLVO PARA HORNEAR REXAL 15KILOS                            12        91897732  20211109  N         
365906    AGUACATE REGIONAL KG.1.000 GR                               9         91897732  20211217  N         

