================================================================================
FALTAS LEVES

================================================================================
--------------------------------------------------------------------------------
LICENCIA       PLACA          CANTIDAD       MONTO          
27185429       U3F-754        2              632.00         
67185679       F1F-571        4              1264.00        
86429854       M5U-987        3              948.00         
15559308       T8F-368        4              1264.00        
90467829       X8U-894        6              1896.00        
30046639       S3F-021        4              1264.00        
64178096       G3B-505        2              632.00         
29833157       I5K-310        5              1580.00        
12858682       T5L-371        1              316.00         
75348522       P5B-640        4              1264.00        
71578206       Y9F-491        4              1264.00        
74325123       V9F-655        1              316.00         
96693273       C0G-556        5              1580.00        
71832810       W1C-444        3              948.00         
44346371       S4J-282        1              316.00         
86718074       Q6I-941        2              632.00         
49927087       G7B-252        4              1264.00        
19568447       D8R-235        2              632.00         
96693273       C0G-556        1              316.00         
12270502       P7T-999        2              632.00         
68303148       H1W-140        1              316.00         
54141214       G2I-709        3              948.00         
37080813       P7E-145        2              632.00         
73357516       G0B-604        4              1264.00        
31107104       E0I-722        3              948.00         
39244942       N5Y-450        1              316.00         
54447051       G3Y-654        1              316.00         
87282766       S1D-093        1              316.00         
54665716       D2V-055        1              316.00         
64532449       J0V-437        4              1264.00        
60335381       E6T-667        2              632.00         
73567806       W9Z-281        5              1580.00        
36079131       I0W-872        1              316.00         
15559308       T8F-368        1              316.00         
73357516       G0B-604        1              316.00         
24859596       A8P-118        1              316.00         
13628871       F3E-797        1              316.00         
80457845       Z5G-762        3              948.00         
60784914       C6Q-548        3              948.00         
82031355       Z5D-724        3              948.00         
87495937       L2H-207        5              1580.00        
66849703       B4N-777        3              948.00         
73972114       A2F-518        1              316.00         
43454884       P6Z-734        2              632.00         
31205866       U6A-456        1              316.00         
42956681       E0L-862        1              316.00         
99950484       Y9W-731        4              1264.00        
66849703       B4N-777        1              316.00         
80457845       Z5G-762        1              316.00         
35912665       O4X-500        4              1264.00        
21621497       R5I-860        1              316.00         
12443643       R8H-409        1              316.00         
31205866       U6A-456        1              316.00         
39244942       N5Y-450        1              316.00         
34976629       J8B-303        4              1264.00        
66849703       B4N-777        1              316.00         
13219606       T3B-722        4              1264.00        
34248357       R7N-062        6              1896.00        
89314225       C3A-423        1              316.00         
77367073       C2S-070        5              1580.00        
88167677       V7U-622        6              1896.00        
53374153       V7L-069        2              632.00         
69252518       Y0Y-415        3              948.00         
96693273       C0G-556        1              316.00         
29989682       W3T-571        5              1580.00        
38862473       I4B-541        3              948.00         
79766395       T3R-184        2              632.00         
35671623       P2Q-870        3              948.00         
87495937       L2H-207        1              316.00         
31205866       U6A-456        1              316.00         
48450395       G1P-591        2              632.00         
44188994       M0X-657        1              316.00         
32244565       J1E-736        5              1580.00        
68303148       H1W-140        1              316.00         
28820944       H2K-127        1              316.00         
81799482       E3U-768        1              316.00         
68310808       K2N-341        2              632.00         
96693273       C0G-556        1              316.00         
89314225       C3A-423        1              316.00         
50200823       H1E-399        2              632.00         
97849227       I0K-077        1              316.00         
79766395       T3R-184        1              316.00         
48450395       G1P-591        1              316.00         
63736112       K0D-676        1              316.00         
19963454       D9A-711        5              1580.00        
73972114       A2F-518        1              316.00         
28820944       H2K-127        1              316.00         
45043076       S7E-946        1              316.00         
16925690       R7N-113        1              316.00         
15559308       T8F-368        1              316.00         
73567806       W9Z-281        1              316.00         
73357516       G0B-604        1              316.00         
79672079       R7U-941        5              1580.00        
85501710       Z4K-431        2              632.00         
85501710       Z4K-431        1              316.00         
52002275       C0S-417        1              316.00         
60335381       E6T-667        1              316.00         
53374153       V7L-069        1              316.00         
45043076       S7E-946        1              316.00         
53853385       O5L-856        1              316.00         
32090869       L4B-291        1              316.00         
27864822       S3D-133        1              316.00         
97849227       I0K-077        1              316.00         
86429854       M5U-987        1              316.00         
90467829       X8U-894        1              316.00         
86718074       Q6I-941        1              316.00         
43454884       P6Z-734        1              316.00         
48878256       Z4L-514        4              1264.00        
31107104       E0I-722        1              316.00         
77763722       W2L-827        3              948.00         
50201756       X8O-807        2              632.00         
81528434       D6F-465        1              316.00         
47844324       F1H-328        1              316.00         
79672079       R7U-941        1              316.00         
30046639       S3F-021        1              316.00         
16925690       R7N-113        1              316.00         
35297848       O7D-970        1              316.00         
74325123       V9F-655        1              316.00         
29833157       I5K-310        1              316.00         
66849703       B4N-777        1              316.00         
75945248       K6X-977        1              316.00         
12270502       P7T-999        1              316.00         
69494747       J8D-125        1              316.00         
32244565       J1E-736        1              316.00         
71578206       Y9F-491        1              316.00         
42956681       E0L-862        1              316.00         
48528209       T9L-709        1              316.00         
16136330       E3U-231        1              316.00         
73818744       U5N-536        1              316.00         
82031355       Z5D-724        1              316.00         
87495937       L2H-207        1              316.00         
13628871       F3E-797        1              316.00         
79672079       R7U-941        1              316.00         
27185429       U3F-754        1              316.00         
60784914       C6Q-548        1              316.00         
30441350       M9Z-497        1              316.00         
28820944       H2K-127        1              316.00         
54141214       G2I-709        1              316.00         
49927087       G7B-252        1              316.00         
52003695       H8S-849        1              316.00         
45043076       S7E-946        1              316.00         
87282766       S1D-093        1              316.00         
24859596       A8P-118        1              316.00         
48528209       T9L-709        1              316.00         
80310768       O2F-523        1              316.00         
26522329       W7R-114        2              632.00         
30046639       S3F-021        1              316.00         
27864822       S3D-133        1              316.00         
52003695       H8S-849        1              316.00         
86429854       M5U-987        1              316.00         
15029228       C0P-895        1              316.00         
70414420       U5T-348        1              316.00         
26522329       W7R-114        1              316.00         
38862473       I4B-541        1              316.00         
16136330       E3U-231        1              316.00         
16925690       R7N-113        1              316.00         
52003695       H8S-849        1              316.00         
77367073       C2S-070        1              316.00         
53853385       O5L-856        1              316.00         
49428502       C0A-114        1              316.00         
84186239       T6W-978        1              316.00         
35683701       D5W-953        1              316.00         
32244565       J1E-736        1              316.00         
89314225       C3A-423        1              316.00         
63736112       K0D-676        1              316.00         
99950484       Y9W-731        1              316.00         
67185679       F1F-571        1              316.00         
50200823       H1E-399        1              316.00         
87282766       S1D-093        1              316.00         
50201756       X8O-807        1              316.00         
69494747       J8D-125        1              316.00         
81528434       D6F-465        1              316.00         
60335381       E6T-667        1              316.00         
73972114       A2F-518        1              316.00         
54665716       D2V-055        1              316.00         
39544560       Y0K-784        1              316.00         
13628871       F3E-797        1              316.00         
30441350       M9Z-497        1              316.00         
32244565       J1E-736        1              316.00         
30441350       M9Z-497        1              316.00         
60335381       E6T-667        1              316.00         
49428502       C0A-114        1              316.00         
77367073       C2S-070        1              316.00         
73357516       G0B-604        1              316.00         
37080813       P7E-145        1              316.00         
87282766       S1D-093        1              316.00         
81485316       J5T-691        1              316.00         
25518120       E1J-798        1              316.00         
21621497       R5I-860        1              316.00         
74325123       V9F-655        1              316.00         
--------------------------------------------------------------------------------
================================================================================
================================================================================
FALTAS MUY GRAVES

--------------------------------------------------------------------------------
LICENCIA       PLACA          CANTIDAD       MONTO          
--------------------------------------------------------------------------------
24859596       A8P-118        3              1422.00        
99950484       Y9W-731        3              948.00         
52002275       J8N-930        1              711.00         
16925690       R7N-113        1              474.00         
71578206       Y9F-491        5              2370.00        
34248357       H4R-733        4              2133.00        
29989682       W3T-571        4              1896.00        
69252518       P7I-760        1              948.00         
29833157       I5K-310        2              2923.00        
77367073       C2S-070        3              1422.00        
50200823       Q6C-943        2              1422.00        
80457845       Z5G-762        1              474.00         
88167677       Y4Y-028        3              948.00         
15029228       J0Q-121        1              474.00         
16477908       I0E-459        1              474.00         
32244565       J1E-736        3              1422.00        
50201756       K5K-595        1              474.00         
67185679       S7F-983        1              474.00         
86429854       K1F-766        2              5925.00        
42956681       L8Z-555        2              948.00         
84186239       T6W-978        1              474.00         
70414420       U5T-348        1              474.00         
53374153       G6I-762        1              5925.00        
13219606       T3B-722        3              1422.00        
87495937       M5G-669        2              4424.00        
89941095       R8O-904        3              1422.00        
48528209       T9L-709        1              5925.00        
81799482       V7P-711        1              0.00           
79641328       X8Q-687        2              474.00         
73567806       Q9D-870        5              8295.00        
25518120       E1J-798        2              474.00         
27185429       U3F-754        1              0.00           
35683701       D5W-953        1              474.00         
70414420       U5T-348        1              3950.00        
97849227       I0K-077        1              474.00         
88854166       L3N-150        2              948.00         
48450395       Q5S-871        3              948.00         
67185679       S7F-983        1              474.00         
54447051       G3Y-654        2              6399.00        
89941095       R8O-904        1              711.00         
13219606       T3B-722        1              474.00         
88167677       Y4Y-028        1              474.00         
19963454       X9O-440        4              2370.00        
81528434       D6F-465        2              1422.00        
79766395       H7P-047        4              3397.00        
64178096       I0X-469        4              2370.00        
36079131       V4S-057        1              474.00         
74325123       H0E-855        1              948.00         
80310768       O2F-523        2              948.00         
79672079       Y3Q-331        1              474.00         
35671623       K0T-350        3              3397.00        
82031355       Z5D-724        1              1975.00        
88167677       Y4Y-028        1              474.00         
81485316       J5T-691        1              474.00         
34976629       I0Y-720        3              1659.00        
60784914       P4Y-758        2              1896.00        
44188994       R2L-600        1              3950.00        
44188994       R2L-600        1              948.00         
29833157       I5K-310        1              474.00         
71578206       Y9F-491        1              0.00           
97849227       I0K-077        1              474.00         
73357516       P1T-781        1              474.00         
15029228       J0Q-121        1              474.00         
89941095       R8O-904        1              0.00           
53374153       G6I-762        1              474.00         
60784914       P4Y-758        1              948.00         
12858682       T5L-371        1              474.00         
30441350       X0F-315        2              948.00         
35912665       O4X-500        2              6399.00        
71578206       Y9F-491        1              474.00         
45043076       R1T-735        1              474.00         
77763722       A1Q-612        3              2370.00        
21621497       D6W-048        1              711.00         
73567806       Q9D-870        1              1975.00        
66849703       B4N-777        1              474.00         
97849227       I0K-077        1              474.00         
54141214       G2I-709        3              948.00         
29989682       W3T-571        1              474.00         
87282766       S1D-093        1              474.00         
16477908       I0E-459        1              0.00           
85501710       Z4K-431        2              1185.00        
90467829       K4H-445        2              948.00         
26522329       W7R-114        1              0.00           
68310808       W8F-397        2              474.00         
63736112       K0D-676        1              3950.00        
30046639       L8F-459        1              474.00         
82031355       Z5D-724        1              474.00         
48528209       T9L-709        1              0.00           
48878256       G2R-979        2              948.00         
47528229       G8O-154        1              474.00         
96693273       F3R-138        2              2449.00        
86718074       L4O-783        1              3950.00        
89314225       C3A-423        1              5925.00        
15559308       X6O-905        2              2923.00        
12858682       T5L-371        1              948.00         
45043076       R1T-735        1              474.00         
86718074       L4O-783        1              948.00         
37080813       O9W-355        2              474.00         
58992942       H8M-598        2              948.00         
84186239       T6W-978        1              474.00         
53853385       O5L-856        2              2923.00        
64532449       V4I-691        1              474.00         
77763722       A1Q-612        1              0.00           
39544560       N4J-043        3              6873.00        
73818744       U5N-536        1              474.00         
26522329       W7R-114        1              0.00           
13628871       F3E-797        1              1975.00        
34248357       H4R-733        1              474.00         
19963454       X9O-440        1              474.00         
86429854       K1F-766        1              474.00         
34248357       H4R-733        1              474.00         
29833157       I5K-310        1              474.00         
12270502       Y5F-449        2              948.00         
86429854       K1F-766        1              948.00         
73818744       U5N-536        1              474.00         
43454884       P6Z-734        1              474.00         
35297848       O7D-970        1              474.00         
45043076       R1T-735        1              474.00         
54141214       G2I-709        1              474.00         
12858682       T5L-371        1              474.00         
64178096       I0X-469        1              711.00         
79641328       X8Q-687        1              0.00           
30441350       X0F-315        1              474.00         
81485316       J5T-691        1              474.00         
67185679       S7F-983        1              474.00         
82870470       K0H-387        1              474.00         
32244565       J1E-736        1              474.00         
64532449       V4I-691        1              3950.00        
97849227       I0K-077        1              5925.00        
49927087       M8Q-758        1              474.00         
28820944       H2K-127        1              474.00         
67185679       S7F-983        1              474.00         
88167677       Y4Y-028        1              474.00         
13628871       F3E-797        1              1975.00        
49927087       M8Q-758        1              3950.00        
53853385       O5L-856        1              948.00         
70414420       U5T-348        1              474.00         
32244565       J1E-736        1              474.00         
16925690       R7N-113        1              948.00         
32090869       L4B-291        1              474.00         
38862473       S6Y-726        2              948.00         
30046639       L8F-459        1              474.00         
73972114       J2M-606        1              474.00         
12443643       R8H-409        1              474.00         
39544560       N4J-043        1              474.00         
87282766       S1D-093        1              474.00         
73972114       J2M-606        1              474.00         
77367073       C2S-070        1              1975.00        
69252518       P7I-760        1              1975.00        
88167677       Y4Y-028        1              474.00         
35912665       O4X-500        1              474.00         
16136330       E3U-231        1              474.00         
--------------------------------------------------------------------------------
================================================================================
